timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
271702037,271702004,0.007544869,0.0030331672,-0.011932741
271733042,271733000,-0.0008888265,-0.0024187118,0.0102363825
271753037,271753004,0.014268226,0.011481763,0.0070980745
271772036,271772003,0.011620656,-0.0093413815,0.0061637447
271798031,271797998,0.002553457,0.013389459,-0.007971989
271818031,271817997,-0.0101152025,-0.004992091,0.010767914
271838074,271838040,0.0025021536,-0.007251525,0.008259737
271857031,271856998,0.0072815856,0.0113129085,-0.01480817
271882073,271882039,-0.011382598,0.004306409,0.005891432
271902037,271902004,0.008504523,0.012098901,-0.0103258705
271922031,271921997,0.0036249484,0.006875103,-0.002516009
271942031,271941997,-0.011993179,0.013108427,-0.007060667
271962037,271962004,-0.0077946316,-0.003625374,0.007251171
271987029,271986998,-0.004456752,-0.0054599945,-0.012441799
272007031,272006998,0.009982192,-0.0015492642,-0.0021432447
272026778,272026744,-0.011802319,-0.009543914,-0.013142433
272047071,272047040,-0.001982058,-0.0026115847,-0.004440865
272067031,272066998,0.012090521,0.008140864,0.00551674
272088029,272087998,0.0041364413,0.0059933565,-0.012954048
272112035,272112004,0.010313812,0.0038840314,-0.014404041
272130640,272130603,0.012622061,-0.0017312614,0.007877781
272152029,272151997,0.0038017186,-0.0056039197,0.014013431
272172038,272172004,0.0061957333,0.006178927,0.008924766
272197037,272197004,0.01156038,-0.012641047,0.0010632154
272218031,272217998,0.0019196591,0.0070373737,-0.0028025487
272238029,272237997,0.0058824066,-0.009718578,-0.00833077
272258031,272257998,0.012374619,-0.009982458,-0.014588446
272279031,272278998,-0.004891767,0.005031916,-0.0027916627
272297031,272296998,-0.012982806,0.011084566,0.01018055
272322071,272322039,0.0062934984,0.005032987,-0.0030046364
272342031,272341998,0.011416899,-0.010269513,-0.013957753
272362029,272361997,-0.009669371,-0.0040886714,-0.009944793
272384031,272383998,-0.008085391,-0.008051428,0.00080971007
272402037,272402004,-0.0012498199,-0.006634801,-0.005245621
272427029,272426998,-0.004821662,4.1676903e-05,0.0060245907
272447031,272446997,-0.0074986597,-0.00014663173,0.01225214
272467029,272466998,-0.0126285385,0.01383169,0.014674833
272488031,272487997,0.0013364975,-0.00049173756,-0.011111727
272507031,272506998,0.010521827,7.709188e-05,0.013820427
272531780,272531747,0.0030467794,-0.0030262733,0.0076562003
272552037,272552004,0.013306913,-0.0039417,0.010554932
272573029,272572997,0.009055197,0.011626941,0.013812381
272593031,272592997,0.0025880751,-0.011840438,0.010437359
272617031,272616998,0.014547956,-0.008253022,0.0006862213
272631472,272631440,0.0118818525,-0.014740803,0.0006654869
272658029,272657997,0.0022973462,0.0005805192,0.0011913278
272677029,272676997,-0.002826762,0.0011648096,0.0078366315
272699031,272698998,-0.012589826,-0.00071652426,-0.0019412761
272720037,272720004,-0.0031417087,-0.008442527,-0.004614895
272742031,272741998,-0.01050407,0.009958871,-0.008111157
272763034,272762998,0.003685221,0.0027862452,0.010826158
272783029,272782998,-0.0033907767,0.011899996,0.008489538
272802033,272802001,0.008747334,-0.010484726,-0.0077901976
272827037,272827004,0.010527287,-0.0018185931,0.008338631
272847031,272846998,0.009791072,-0.002731715,0.0035685524
272868034,272868001,0.0131511185,-0.0034233055,-0.0061543337
272888029,272887998,-0.00986042,-0.013546532,-0.0023433988
272907031,272906998,0.011493357,-0.0032132242,0.0072056926
272932036,272932003,0.0010141674,-0.001368783,-0.013398285
272952029,272951998,0.0033106997,-0.0036284982,-0.012921519
272972079,272972045,-0.008536413,0.0028238543,-0.0039512985
272992029,272991997,0.007826671,-0.005153619,-0.0050455537
273013031,273012997,0.00016158808,-0.003366911,-0.007970524
273037029,273036997,-0.0114806555,0.013416473,-0.0105137
273057031,273056998,0.0008194428,-0.006397795,0.0047424254
273077031,273076998,-0.0010116601,0.008771074,0.008525334
273098031,273097998,-0.0005157894,0.0071846046,0.013646751
273118035,273118004,-0.001237195,0.009590792,-0.0043658763
273142035,273142004,0.0032278218,0.0012711812,0.0076181833
273163031,273162998,-0.0053495495,0.0063179797,-0.01227415
273182029,273181998,-0.009212548,0.004217665,-0.0054516657
273202035,273202004,-0.0073136017,-0.006422209,-0.0024389059
273223033,273222997,0.0017399896,-0.011392331,-0.0012240425
273242031,273241997,0.0042967447,-0.0050814454,-0.0140902195
273268031,273267998,0.0063531357,0.014111592,-0.0049039586
273287031,273286998,-0.0015926703,-0.009270183,-0.00025605608
273308031,273307997,-0.01275011,-0.012689521,-0.007138381
273328037,273328004,0.0035821605,0.00433089,0.002401606
273352031,273351998,-0.004693129,-0.007600394,0.013220426
273373036,273373003,0.0116521735,0.008552704,-0.001283971
273393029,273392998,0.010680151,0.0018856314,0.014466004
273412073,273412039,-0.0076868297,-0.0018659055,-0.01134349
273433031,273432997,-0.0027239912,0.010452569,0.011868432
273453029,273452998,0.012598256,-0.007601277,-0.009593495
273477035,273476997,0.012594397,-0.0129282195,-0.0022639642
273498031,273497998,-0.011520159,0.0144491205,-0.0012201357
273518036,273518003,0.012296366,-0.010263477,0.0073741064
273538037,273538004,-0.0067285034,0.009437288,0.013931354
273562029,273561997,-0.005369221,-0.011148761,-0.0013951493
273582031,273581998,0.01244853,-0.0061187656,0.0081424825
273603031,273602998,-0.0014314101,0.0031849367,0.0004840364
273623037,273623004,-0.005270778,0.0021272877,0.0030810942
273642038,273642005,-0.011781942,-0.007076957,-0.012867364
273667034,273667001,-0.007928734,0.0047447663,-0.0103201205
273688031,273687998,-0.01438311,-0.0017720168,-0.0030677717
